protocol,negative_cap,negative_ratio,seed,model,granularity,window_size,setting,precision,recall,f1,macro_f1,auroc,aupr,fpr,fnr,num_positive,num_negative,recall_at_fpr_1e_3,num_train_pos,num_train_neg,num_test_pos,num_test_neg,fit_time,inference_time,status,notes
B_2x_negative_cap,120000,5.662514156285391,2026,ExtraTrees,sample,1,ctt_test04,0.0032999748914953908,0.05812973883740522,0.006245403631837981,0.4980894757120385,0.5297835471488659,0.026558643664078688,0.01893662810151904,0.9418702611625948,14244,13206311,0.04317607413647852,21192,120000,14244,13206311,0.1760239601135254,133.94679641723633,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,2026,RandomForest,sample,1,ctt_test01,0.9765621602817759,0.35489886219974714,0.5206022462533467,0.7584740726013781,0.7100122678449506,0.4233849760233508,9.557771319238428e-05,0.6451011378002528,63280,5639390,0.42087547408343867,21192,120000,63280,5639390,0.3911571502685547,57.20406103134155,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,2026,RandomForest,sample,1,ctt_test02,0.910377358490566,0.0376202281822778,0.07225462266965388,0.5298954662168797,0.9768590455723369,0.45476374352336063,9.675750944897553e-05,0.9623797718177222,164167,6283750,0.03765677633141862,21192,120000,164167,6283750,0.3911571502685547,64.96373510360718,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,2026,RandomForest,sample,1,ctt_test03,0.8897403965897117,0.4460024009603841,0.5941658137154554,0.7967149101785149,0.7412921362920898,0.47085101351322234,0.0001336127088786864,0.5539975990396159,20825,8614450,0.4832172869147659,21192,120000,20825,8614450,0.3911571502685547,86.72643518447876,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,2026,RandomForest,sample,1,ctt_test04,0.48873873873873874,0.07617242347655154,0.1318027210884354,0.5656308933447707,0.5497756503746352,0.04983865037325107,8.594375825315639e-05,0.9238275765234485,14244,13206311,0.08831788823364224,21192,120000,14244,13206311,0.3911571502685547,132.05630326271057,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,2026,MLP,sample,1,ctt_test01,0.2622047244094488,0.35783817951959546,0.30264635124298317,0.6466876576172804,0.6282084989336643,0.3494496555244297,0.01129838510902775,0.6421618204804046,63280,5639390,0.327370417193426,21192,120000,63280,5639390,2.379399061203003,59.97608470916748,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,2026,MLP,sample,1,ctt_test02,0.169375,0.44570467877222586,0.24546813225153352,0.6044479206553244,0.9354976330352538,0.1837135649560995,0.05710443604535508,0.5542953212277741,164167,6283750,0.03432480340141442,21192,120000,164167,6283750,2.379399061203003,69.14500188827515,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,2026,MLP,sample,1,ctt_test03,0.09086054468859397,0.4412004801920768,0.15068841381911816,0.5723243982405963,0.712578436395192,0.23991357488595702,0.010672068443139143,0.5587995198079232,20825,8614450,0.22252100840336134,21192,120000,20825,8614450,2.379399061203003,92.52570271492004,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,2026,MLP,sample,1,ctt_test04,0.0021254696534815025,0.07132827857343443,0.004127933433010466,0.49261800043221377,0.4546550329230085,0.0015598160425697497,0.03611879199270712,0.9286717214265656,14244,13206311,0.009618084807638304,21192,120000,14244,13206311,2.379399061203003,144.37384271621704,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
C_5x_negative_cap,300000,14.156285390713476,42,ExtraTrees,sample,1,ctt_test01,0.9961380020597322,0.3668457648546144,0.5362191628938372,0.7663357115976172,0.6922001416793003,0.38331293889493484,1.595917288926639e-05,0.6331542351453856,63280,5639390,0.3668457648546144,21192,300000,63280,5639390,0.4700279235839844,57.309327363967896,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
C_5x_negative_cap,300000,14.156285390713476,42,ExtraTrees,sample,1,ctt_test02,0.0738543747625409,0.03670652445375745,0.04903971354166667,0.515282440452162,0.4487323052573975,0.061084751605331805,0.012025780783767655,0.9632934755462426,164167,6283750,0.03661515408090542,21192,300000,164167,6283750,0.4700279235839844,66.11567521095276,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
C_5x_negative_cap,300000,14.156285390713476,42,ExtraTrees,sample,1,ctt_test03,0.9317679879111938,0.384921968787515,0.5447872774228626,0.7720051489136096,0.7174106612554882,0.3642902798425781,6.814132068791391e-05,0.6150780312124849,20825,8614450,0.3923169267707083,21192,300000,20825,8614450,0.4700279235839844,89.63362383842468,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
C_5x_negative_cap,300000,14.156285390713476,42,ExtraTrees,sample,1,ctt_test04,0.009241072263688572,0.034681269306374614,0.01459358059703697,0.5060320125824485,0.5444809324538444,0.027324665404252085,0.004010431073446627,0.9653187306936254,14244,13206311,0.02674810446503791,21192,300000,14244,13206311,0.4700279235839844,133.37578082084656,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
C_5x_negative_cap,300000,14.156285390713476,42,RandomForest,sample,1,ctt_test01,0.9695608221947658,0.40922882427307206,0.5755370100790097,0.7860806652190698,0.7045796789507268,0.41404259337022353,0.00014416452843303974,0.5907711757269279,63280,5639390,0.4092920353982301,21192,300000,63280,5639390,0.8260390758514404,56.954662561416626,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
C_5x_negative_cap,300000,14.156285390713476,42,RandomForest,sample,1,ctt_test02,0.026364945242682583,0.03825982079224204,0.031217693836978134,0.5000071316494925,0.5007294307669151,0.062029491964570124,0.03691298985478417,0.961740179207758,164167,6283750,0.03759586274951726,21192,300000,164167,6283750,0.8260390758514404,64.48217129707336,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
C_5x_negative_cap,300000,14.156285390713476,42,RandomForest,sample,1,ctt_test03,0.8796676709577285,0.46266506602641055,0.6063943608785953,0.8028343935772172,0.7389829612973992,0.46898038745758314,0.00015299874048836548,0.5373349339735894,20825,8614450,0.4780792316926771,21192,300000,20825,8614450,0.8260390758514404,86.98389983177185,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
C_5x_negative_cap,300000,14.156285390713476,42,RandomForest,sample,1,ctt_test04,0.0035407010531388642,0.08768604324627914,0.006806558056016501,0.4964135680461074,0.5397025741030199,0.027498237170888562,0.026616516906197346,0.9123139567537208,14244,13206311,0.06472900870541982,21192,300000,14244,13206311,0.8260390758514404,134.15722370147705,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
C_5x_negative_cap,300000,14.156285390713476,42,MLP,sample,1,ctt_test01,0.7790819458990935,0.340897597977244,0.4742714551110818,0.7350222649512124,0.6512691042188891,0.3611464116837996,0.0010846917840404726,0.659102402022756,63280,5639390,0.3404551201011378,21192,300000,63280,5639390,4.519200801849365,61.99563145637512,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
C_5x_negative_cap,300000,14.156285390713476,42,MLP,sample,1,ctt_test02,0.04808846957138089,0.08513282206533591,0.06146025268360899,0.5135753652752824,0.953381582778391,0.22153116680108131,0.044027053908891986,0.9148671779346641,164167,6283750,0.03412378858113994,21192,300000,164167,6283750,4.519200801849365,74.11398482322693,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
C_5x_negative_cap,300000,14.156285390713476,42,MLP,sample,1,ctt_test03,0.3687131460284426,0.20417767106842738,0.26281793738603704,0.6307171038322411,0.6840847207277294,0.17589710664377511,0.0008450916773560703,0.7958223289315727,20825,8614450,0.2102280912364946,21192,300000,20825,8614450,4.519200801849365,94.71704173088074,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
C_5x_negative_cap,300000,14.156285390713476,42,MLP,sample,1,ctt_test04,0.0034138458739552454,0.06718618365627632,0.006497540507785846,0.49765225473828184,0.4136747019469625,0.0016488033134302899,0.021154431392687936,0.9328138163437236,14244,13206311,0.008003369839932602,21192,300000,14244,13206311,4.519200801849365,144.12310695648193,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
