dataset,model,seed,granularity,threshold,train_protocol,test_protocol,precision,recall,f1,auroc,aupr,fpr,fnr
ctt_test01,GaussianNB,7,sample,2.412656741057617e-10,all positives + capped negative sampling,full official test folder,0.9774740248679953,0.3627528445006321,0.5291365082292194,0.6566692573860364,0.36193198938177396,9.380447176024357e-05,0.6372471554993678
ctt_test01,IsolationForest,7,sample,-0.11505556934901484,all positives + capped negative sampling,full official test folder,0.012108499165059785,0.9997787610619469,0.02392721159637344,0.4447053332471118,0.011158211975724577,0.9152867597381986,0.00022123893805309734
ctt_test01,BIRCH,7,sample,1.043218731880188,all positives + capped negative sampling,full official test folder,0.01743602623291305,0.9764064475347661,0.034260255287059324,0.7476411785543513,0.03570101030423755,0.6174166000223429,0.02359355246523388
ctt_test02,GradientBoosting,7,sample,0.007766812246681532,all positives + capped negative sampling,full official test folder,0.9316253894612359,0.9981177703192481,0.9637260293308946,0.9981682653031722,0.9364948365791563,0.0019138253431470061,0.0018822296807519173
ctt_test02,RandomForest,7,sample,0.02857142857142857,all positives + capped negative sampling,full official test folder,0.2732228597903747,0.9986172616908392,0.4290556013556838,0.9989373366778214,0.9805278918943082,0.069398527949075,0.0013827383091607936
ctt_test02,MLP,7,sample,0.015164339914917946,all positives + capped negative sampling,full official test folder,0.2827498481516969,0.932915872252036,0.4339709786831315,0.935832234977277,0.19373276686333282,0.06182693455341158,0.06708412774796396
ctt_test02,LogisticRegression,7,sample,0.44863054156303406,all positives + capped negative sampling,full official test folder,0.36985236985236986,0.03769332448055943,0.06841424449137083,0.7125989986745014,0.06828764758374209,0.0016778197732245873,0.9623066755194406
ctt_test02,GaussianNB,7,sample,2.412656741057617e-10,all positives + capped negative sampling,full official test folder,0.28162381086936045,0.03642632197701121,0.06450882141951768,0.5053815853622803,0.059025914059309174,0.0024275313308136067,0.9635736780229888
ctt_test02,IsolationForest,7,sample,-0.11505556934901484,all positives + capped negative sampling,full official test folder,0.02678038929091111,1.0,0.05216381140548564,0.22684254568999399,0.0195148319817599,0.949425581857967,0.0
ctt_test02,BIRCH,7,sample,1.043218731880188,all positives + capped negative sampling,full official test folder,0.027387655217742966,0.9995370567775497,0.05331447567405816,0.47756901888354847,0.023645284477007804,0.9273651879848817,0.00046294322245030975
ctt_test03,GradientBoosting,7,sample,0.007766812246681532,all positives + capped negative sampling,full official test folder,0.7190327356473104,0.6296758703481392,0.6713941938456812,0.7959460319363308,0.5969476747210563,0.0005948145267544648,0.37032412965186073
ctt_test03,RandomForest,7,sample,0.02857142857142857,all positives + capped negative sampling,full official test folder,0.7866797257590598,0.5785354141656662,0.6667404537908135,0.7928232657770083,0.5527978718871768,0.00037924649861569807,0.4214645858343337
ctt_test03,MLP,7,sample,0.015164339914917946,all positives + capped negative sampling,full official test folder,0.08667053028107795,0.5745018007202881,0.15061844962704182,0.7027241072070918,0.24448647349638397,0.014635409109113175,0.4254981992797119
ctt_test03,LogisticRegression,7,sample,0.44863054156303406,all positives + capped negative sampling,full official test folder,0.6810137335409883,0.46194477791116445,0.5504849646648164,0.6941817065893855,0.4324251101709128,0.0005230746013964908,0.5380552220888355
ctt_test03,GaussianNB,7,sample,2.412656741057617e-10,all positives + capped negative sampling,full official test folder,0.9008300567933596,0.396062424969988,0.5502151362529603,0.7027390135270425,0.37776028844573656,0.0001054042916262791,0.603937575030012
ctt_test03,IsolationForest,7,sample,-0.11505556934901484,all positives + capped negative sampling,full official test folder,0.002631826050010129,1.0,0.0052498354463343284,0.6535439717975193,0.06106030990528688,0.9161272048708855,0.0
ctt_test03,BIRCH,7,sample,1.043218731880188,all positives + capped negative sampling,full official test folder,0.003822420390198846,0.9896278511404561,0.0076154263284455145,0.9117435643398164,0.3327866631829849,0.6234873961773532,0.010372148859543818
ctt_test04,GradientBoosting,7,sample,0.007766812246681532,all positives + capped negative sampling,full official test folder,0.706816163410302,0.44699522606009545,0.5476518148976433,0.6985227914609079,0.33197929977586543,0.00019998014585602292,0.5530047739399045
ctt_test04,RandomForest,7,sample,0.02857142857142857,all positives + capped negative sampling,full official test folder,0.01599883347914844,0.38514462229710755,0.03072150169119459,0.6871778607026596,0.04813332423769624,0.025549451319145825,0.6148553777028924
ctt_test04,MLP,7,sample,0.015164339914917946,all positives + capped negative sampling,full official test folder,0.002295973815769204,0.07638303847233924,0.0044579475822395034,0.47669254763791546,0.0017747409946736279,0.035799929291381975,0.9236169615276608
ctt_test04,LogisticRegression,7,sample,0.44863054156303406,all positives + capped negative sampling,full official test folder,0.013286609006859528,0.06255265374894692,0.021917740824559676,0.3375287507692324,0.02234031560399177,0.005010407524099652,0.9374473462510531
ctt_test04,GaussianNB,7,sample,2.412656741057617e-10,all positives + capped negative sampling,full official test folder,0.010556816713729399,0.04015725919685482,0.016718546772472854,0.5207635660065587,0.0016803423128244903,0.0040594985230924824,0.9598427408031451
ctt_test04,IsolationForest,7,sample,-0.11505556934901484,all positives + capped negative sampling,full official test folder,0.0010724841089337215,0.9939623701207526,0.0021426562945030983,0.795086008309182,0.058172773898623784,0.9985354729265424,0.006037629879247402
ctt_test04,BIRCH,7,sample,1.043218731880188,all positives + capped negative sampling,full official test folder,0.001214699206273296,0.9504352709912945,0.0024262974947555378,0.8188338063942538,0.31643870188059003,0.8429006404589442,0.04956472900870542
ctt_test01,GradientBoosting,99,sample,0.07457959863904258,all positives + capped negative sampling,full official test folder,0.8875019682503328,0.9797724399494311,0.9313574534884594,0.990760780150873,0.9123647287912525,0.001393590441519384,0.020227560050568902
