dataset,model,granularity,window_size,f1,auroc,aupr,mean_attack_ratio,precision,recall,fpr,fnr,candidate,policy,alpha_supervised,threshold,recall_at_fpr_1em04,recall_at_fpr_5em04,recall_at_fpr_1em03,seed,label_ratio,epochs,aux_loss_weight,accuracy,macro_f1,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03,source,scope,Model,exceeds_transformer_f1,exceeds_old_cmf_f1,exceeds_old_cmf_aupr,selection_metric,metric,mean,std,n,seeds
ctt_test01,GradientBoosting,window_10,10.0,0.9655213803450864,0.9765395529309028,0.9329653782849036,0.3749703721260962,0.9780533771049912,0.9533064707276606,0.0006523451899932,0.0466935292723394,,,,,,,,,,,,,,,,,,,,,,,granularity,,,,,,,,,,,
ctt_test02,GradientBoosting,window_10,10.0,0.9948197775957848,0.9967256013347936,0.9901441834923794,0.3236093041592746,0.9959302210719718,0.99371180760891,0.0003467674873497,0.00628819239109,,,,,,,,,,,,,,,,,,,,,,,granularity,,,,,,,,,,,
ctt_test03,GradientBoosting,window_10,10.0,0.676481092020158,0.8478090651608308,0.6777720549468647,0.1273310914093549,0.963599366945512,0.5211861815958423,0.000380090348184,0.4788138184041577,,,,,,,,,,,,,,,,,,,,,,,granularity,,,,,,,,,,,
ctt_test04,GradientBoosting,window_10,10.0,0.6001249888402821,0.8452561599829853,0.6184722776882597,0.1919417868211831,0.8891534391534391,0.4529039213044064,0.0003187210992607,0.5470960786955936,,,,,,,,,,,,,,,,,,,,,,,granularity,,,,,,,,,,,
ctt_test01,GradientBoosting,window_20,20.0,0.9685299295774648,0.972270347808666,0.9413131660211788,0.3394121433168848,0.9941269482719676,0.944217978974469,0.0001885376368257,0.055782021025531,,,,,,,,,,,,,,,,,,,,,,,granularity,,,,,,,,,,,
ctt_test02,GradientBoosting,window_20,20.0,0.9927340911754364,0.9942406364995052,0.9866476296414944,0.3197518600755716,0.995534140322012,0.9899497487437184,0.0003841992983307,0.0100502512562814,,,,,,,,,,,,,,,,,,,,,,,granularity,,,,,,,,,,,
ctt_test03,GradientBoosting,window_20,20.0,0.6676522221195602,0.8527282504216144,0.7094153163550865,0.0724499025883662,0.9934011547979104,0.5027831895352074,0.0001150014614769,0.4972168104647926,,,,,,,,,,,,,,,,,,,,,,,granularity,,,,,,,,,,,
ctt_test04,GradientBoosting,window_20,20.0,0.641630351192002,0.8947361684329831,0.7227739499342077,0.1383987563155849,0.942394578313253,0.486397201710066,0.0002332758021333,0.5136027982899339,,,,,,,,,,,,,,,,,,,,,,,granularity,,,,,,,,,,,
ctt_test01,GradientBoosting,window_50,50.0,0.9526952695269528,0.9589913253709828,0.9206990713250728,0.3325275880189174,0.9994229659549914,0.9101418812401472,1.8141576865861186e-05,0.0898581187598528,,,,,,,,,,,,,,,,,,,,,,,granularity,,,,,,,,,,,
ctt_test02,GradientBoosting,window_50,50.0,0.9833826759621812,0.9847852407983452,0.970291855148474,0.3090784147604254,0.9978680104661304,0.9693118704697354,0.0001859191589693,0.0306881295302645,,,,,,,,,,,,,,,,,,,,,,,granularity,,,,,,,,,,,
ctt_test03,GradientBoosting,window_50,50.0,0.7399509966227402,0.923402523710035,0.853070741558628,0.0437846930193439,0.9996421542315262,0.587363330529857,1.2255878225593951e-05,0.412636669470143,,,,,,,,,,,,,,,,,,,,,,,granularity,,,,,,,,,,,
ctt_test04,GradientBoosting,window_50,50.0,0.6274193548387097,0.920239716922698,0.8235315589679248,0.1120251671254423,0.9915038232795242,0.4589068029885961,3.8187907417237256e-05,0.5410931970114039,,,,,,,,,,,,,,,,,,,,,,,granularity,,,,,,,,,,,
ctt_test01,GradientBoosting,window_100,100.0,0.9423339710303362,0.9461581600772684,0.8959658008443454,0.327366787377134,0.9988412514484356,0.8918779099844801,3.630488845323023e-05,0.1081220900155199,,,,,,,,,,,,,,,,,,,,,,,granularity,,,,,,,,,,,
