dataset,feature,normal_vs_attack_effect_size,single_feature_auc,train_vs_test_shift,PSI,wasserstein,ks_statistic
ctt_test02,transition_rarity_mean,2.5231103897094727,0.9367169826263013,47.82273,9.647951701230864,47.822725457263545,1.0
ctt_test02,transition_rarity_std,-2.5184686183929443,0.9363724188744632,19.70499,31.63239014410551,19.704989643093477,0.9966772
ctt_test02,topk_successor_hit_mean,,0.5,0.0,2.6341658115868267e-17,0.0,0.0
ctt_test02,delta_t_global_z_mean,-3.089301824569702,0.9482408536111785,-7.3980036,10.545719002169662,7.398003437612778,0.99661577
ctt_test02,delta_t_same_id_z_mean,-0.4825572371482849,0.8158232676251964,0.09797362,0.8276164072016672,0.21053848381753162,0.19618008
ctt_test02,transition_prob_max,-0.4739730954170227,0.5743407286601507,-14.316298,4.41519133908642,14.316297442856268,0.99927104
ctt_test02,transition_rarity_max,0.0,0.5,11.604521,14.117539067640239,11.604522164536313,1.0
ctt_test02,topk_successor_hit_ratio,,0.5,0.0,2.6341658115868267e-17,0.0,0.0
ctt_test04,id_entropy,0.4481554627418518,0.5603660598545547,2.2974393,16.666631444199513,2.2982666783906605,0.86522436
ctt_test04,unique_id_ratio,0.5755466222763062,0.6049602057184953,1.675962,5.605676621110183,1.6799336238895144,0.6724222
ctt_test04,top_id_frequency,0.6964823007583618,0.6012935877310148,-1.0359911,33.31256125881009,1.0359910351528894,0.99383634
ctt_test04,payload_mean,0.19460049271583557,0.5838961193791586,0.014424458,0.5731867987191566,0.25115029607911205,0.12239879
ctt_test04,payload_std,-0.19053581357002258,0.5523957086564684,0.21712986,0.6083957209038295,0.2284093648511081,0.093577355
ctt_test04,payload_min,,0.5,0.0,1.0326018335853266e-15,0.0,0.0
ctt_test04,payload_max,0.029737288132309914,0.5003251845900761,-6.128564e-05,0.01943273934140059,6.128563011648436e-05,0.0006429652
ctt_test04,dlc_mean_norm,,0.5,0.0,1.0326018335853266e-15,0.0,0.0
ctt_test04,dlc_std_norm,,0.5,0.0,1.0326018335853266e-15,0.0,0.0
ctt_test04,delta_t_global_mean,-0.013940880075097084,0.806258348702865,-3.9656835,47.43560755749267,5.069727664775365,0.9840345
ctt_test04,delta_t_global_std,-0.00782188680022955,0.7695701627854866,-0.3731037,4.666108876206632,3.413474254185109,0.7489756
ctt_test04,delta_t_same_id_mean,0.34487810730934143,0.5147886986502901,-0.06727488,0.6515121218417697,0.33820689604739984,0.22381462
ctt_test04,delta_t_same_id_std,0.3758767545223236,0.5642632290772599,0.003550221,0.6319740120860972,0.18150434200590435,0.13875453
ctt_test04,payload_delta_l1_mean,0.7181257605552673,0.6905780888500642,-0.3294242,0.8130112276401811,0.4114458812713676,0.31641948
ctt_test04,payload_delta_l1_std,0.8524287939071655,0.7542282042121096,-0.7216211,2.820809995688223,0.8144454772608778,0.56923974
ctt_test04,payload_change_rate,-0.10844544321298599,0.5323669129477612,0.03151851,0.18032888457928203,0.18581248290554747,0.07852048
ctt_test04,transition_prob_mean,-0.7309337258338928,0.6947464888389302,-3.918566,42.47951890956464,3.9185659972863536,0.9798275
ctt_test04,transition_prob_std,-0.639241099357605,0.6754137063557095,-1.5859112,1.1313279135743157,1.7444207742444406,0.36778736
ctt_test04,transition_rarity_mean,0.5914459228515625,0.6179910925986157,26.99347,9.647951701230864,26.993468878761213,1.0
ctt_test04,transition_rarity_std,-0.8410775065422058,0.7279193562552564,34.44097,7.675332049656102,34.440971317163175,1.0
ctt_test04,topk_successor_hit_mean,0.14189513027668,0.5049833887043189,1.1346444e-06,1.0326018335853266e-15,1.1346444527022708e-06,0.000113487244
ctt_test04,delta_t_global_z_mean,-0.013940886594355106,0.8062599247391818,-3.9656882,47.43732257603911,5.069733756732805,0.9840345
ctt_test04,delta_t_same_id_z_mean,0.3448781669139862,0.5147886986502901,-0.06727473,0.6515075163363502,0.33820616064761433,0.22381462
ctt_test04,transition_prob_max,-0.09786062687635422,0.5235341012951588,-1.5080123,1.0077592608640071,1.5080123752501267,0.432096
ctt_test04,transition_rarity_max,1.8973665237426758,0.5,11.604523,14.117539067640239,11.604522164536313,1.0
ctt_test04,topk_successor_hit_ratio,0.14189513027668,0.5049833887043189,1.1346444e-06,1.0326018335853266e-15,1.1346444527022708e-06,0.000113487244
