dataset,model,attack_type,precision,recall,f1,support,mean_score,false_negative_count,false_positive_count,gate_frame,gate_window,gate_context
ctt_test03,transformer,interval-3,0.0,0.0,0.0,4291,9.609926031293456e-08,4291,0,0.29459022219935044,0.40435735714988424,0.3010524203590623
ctt_test03,transformer,interval-4,0.0,0.0,0.0,126,9.274227906981679e-08,126,0,0.2911411038939915,0.40759264169231296,0.30126625346759
ctt_test03,transformer,speed-3,1.0,0.36180904522613067,0.5313653136531366,199,0.3837074383005404,127,0,0.27070519964599127,0.43487359650770024,0.29442119808053246
ctt_test03,transformer,speed-4,1.0,0.32941176470588235,0.49557522123893805,85,0.3109224321866715,57,0,0.2725513034007128,0.4366585608790903,0.2907901367720435
ctt_test03,transformer,systematic-3,0.0,0.0,0.0,919,1.0446327674726015e-07,919,0,0.2850370086380914,0.4070408810274645,0.30792211360978095
ctt_test03,transformer,systematic-4,0.0,0.0,0.0,124,9.756769173231034e-08,124,0,0.29391221918406024,0.4070122886088587,0.29907549340878764
ctt_test03,transformer,triple-3,0.0,0.0,0.0,173,9.144280973275582e-08,173,0,0.2257431127087918,0.4230720090728275,0.35118487839064844
ctt_test03,transformer,triple-4,0.0,0.0,0.0,46,1.2570761421176505e-07,46,0,0.20201793248238767,0.4232921418936356,0.37468992108884064
ctt_test04,cmf_can,double-3,1.0,1.0,1.0,178,3.6181128021407754e-06,0,0,0.2304129682565003,0.43702619347009763,0.33256084229169264
ctt_test04,cmf_can,double-4,1.0,0.9411764705882353,0.9696969696969697,85,1.4500004373771576e-06,5,0,0.23315535205252025,0.42580970560803133,0.3410349467221428
ctt_test04,cmf_can,fuzzing-3,1.0,1.0,1.0,196,3.155789340432736e-06,0,0,0.22724263993453003,0.39446046036116933,0.37829689438245734
ctt_test04,cmf_can,fuzzing-4,1.0,0.6305418719211823,0.7734138972809668,203,7.230848764501043e-07,75,0,0.2434742599725723,0.4119547830133015,0.34457095958329187
ctt_test04,cmf_can,interval-3,1.0,0.4672897196261682,0.6369426751592356,107,5.752040907796455e-07,57,0,0.2468973877273987,0.4153289641732367,0.33777364893494366
ctt_test04,cmf_can,interval-4,1.0,0.4230769230769231,0.5945945945945945,26,5.787991914128445e-07,15,0,0.248097270154036,0.4099682661203238,0.3419344551288165
ctt_test04,cmf_can,speed-3,1.0,0.1792452830188679,0.30399999999999994,212,4.293945644837146e-07,174,0,0.26695411202480207,0.42500937420804547,0.3080365161569613
ctt_test04,cmf_can,speed-4,1.0,0.625,0.7692307692307693,64,7.127267878104249e-07,24,0,0.24435124779120085,0.4154667970724404,0.3401819486171007
ctt_test04,cmf_can,systematic-3,1.0,0.6779661016949152,0.8080808080808081,59,7.726845402908497e-07,19,0,0.23832685588780092,0.41650954292992415,0.3451635973938441
ctt_test04,cmf_can,systematic-4,1.0,0.8383838383838383,0.9120879120879121,198,1.075127153688465e-06,32,0,0.23677945400428288,0.41006460048333565,0.3531559446845392
ctt_test04,cmf_can,triple-3,1.0,1.0,1.0,63,0.004613016203313852,0,0,0.21841683534402692,0.4262685998091622,0.3553145556222825
ctt_test04,cmf_can,triple-4,1.0,1.0,1.0,114,0.00024080557586943297,0,0,0.2014317065477371,0.4438185467008959,0.3547497464899431
ctt_test04,concat_fusion,double-3,1.0,1.0,1.0,178,0.016920967460650922,0,0,0.2304129682565003,0.43702619347009763,0.33256084229169264
ctt_test04,concat_fusion,double-4,1.0,1.0,1.0,85,0.0038349934060694286,0,0,0.23315535205252025,0.42580970560803133,0.3410349467221428
ctt_test04,concat_fusion,fuzzing-3,1.0,1.0,1.0,196,2.9388623277423163e-05,0,0,0.22724263993453003,0.39446046036116933,0.37829689438245734
ctt_test04,concat_fusion,fuzzing-4,1.0,0.896551724137931,0.9454545454545454,203,8.875194062235542e-06,21,0,0.2434742599725723,0.4119547830133015,0.34457095958329187
ctt_test04,concat_fusion,interval-3,1.0,0.8317757009345794,0.9081632653061225,107,5.888069437711135e-06,18,0,0.2468973877273987,0.4153289641732367,0.33777364893494366
