model,local_model,feature_protocol,source,reported_accuracy,reported_precision,reported_recall,reported_f1,diff_f1_attack,diff_f1_normal,diff_f1_macro,diff_f1_weighted,diff_f1_accuracy,diff_recall_attack,diff_recall_normal,diff_recall_weighted,diff_recall_accuracy,diff_precision_attack,diff_precision_normal,diff_precision_weighted,best_matching_f1_metric,best_matching_recall_metric,best_matching_precision_metric,overall_metric_hypothesis,best_f1_diff
GradientBoosting,GradientBoosting,P1_public_default,test04_public_reproduction,0.9984,0.998,0.9984,0.9982,0.9942740673173401,0.019286735545105738,0.5067804014312229,0.020337199731651823,0.039499173900036655,0.9228594215108116,0.0387466191277791,0.03969917390003663,0.03969917390003663,0.9959846639670653,0.0009620584600393833,0.00011206506308436559,normal,normal,weighted,weighted/accuracy-like,0.019286735545105738
GradientBoosting,GradientBoosting,P3_no_subdivision,test04_public_reproduction,0.9984,0.998,0.9984,0.9982,0.9930820465442265,0.047798082708602974,0.5204400646264147,0.04881654409550207,0.09268574587072931,0.7728313395113733,0.09215237339178206,0.09288574587072929,0.09288574587072929,0.9954116596956827,0.0010791553272379018,5.52300475331613e-06,normal,normal,weighted,weighted/accuracy-like,0.047798082708602974
GradientBoosting,GradientBoosting,P5_arbitration_payload_only,test04_public_reproduction,0.9984,0.998,0.9984,0.9982,0.9919067809287672,0.03785792674981836,0.5148823538392928,0.03888583154495939,0.0744719114288317,0.7742354394832911,0.07391737953164945,0.07467191142883167,0.07467191142883167,0.9948085925123363,0.0010956669920334505,2.2666632186307822e-05,normal,normal,weighted,weighted/accuracy-like,0.03785792674981836
GradientBoosting,GradientBoosting,P7_public_plus_delta,test04_public_reproduction,0.9984,0.998,0.9984,0.9982,0.8022797772600643,0.0012644542127652203,0.40050766152364947,0.0003987050794572733,0.0007296213358667369,0.8773665824206683,0.001476498440783347,0.000529621335866759,0.000529621335866759,0.48414008941867637,0.001052749447689405,0.000529996295736801,weighted,weighted,weighted,weighted/accuracy-like,0.0003987050794572733
GradientBoosting,GradientBoosting,SAFE_CAN,test04_public_reproduction,0.9984,0.998,0.9984,0.9982,0.8025564356435528,0.0012619548896651844,0.40064724037694377,0.00039591037377639804,0.0007246291097463553,0.8770155574276889,0.0014711222233069199,0.0005246291097463773,0.0005246291097463773,0.49406528708815844,0.0010531222980127986,0.0005196752057162746,weighted,weighted,weighted,weighted/accuracy-like,0.00039591037377639804
GradientBoosting,GradientBoosting,GRAIN_window_5,final_grain_can_b1,0.9984,0.998,0.9984,0.9982,0.4813692710125972,,,,,0.6314759456553611,,,,0.12416387337057733,,,attack,attack,attack,attack-positive-like,0.4813692710125972
GradientBoosting,GradientBoosting,GRAIN_window_10,final_grain_can_b1,0.9984,0.998,0.9984,0.9982,0.3980750111597179,,,,,0.5454960786955936,,,,0.10884656084656086,,,attack,attack,attack,attack-positive-like,0.3980750111597179
GradientBoosting,GradientBoosting,GRAIN_window_20,final_grain_can_b1,0.9984,0.998,0.9984,0.9982,0.356569648807998,,,,,0.512002798289934,,,,0.05560542168674698,,,attack,attack,attack,attack-positive-like,0.356569648807998
GradientBoosting,GradientBoosting,GRAIN_window_50,final_grain_can_b1,0.9984,0.998,0.9984,0.9982,0.3707806451612903,,,,,0.5394931970114039,,,,0.006496176720475755,,,attack,attack,attack,attack-positive-like,0.3707806451612903
GradientBoosting,GradientBoosting,GRAIN_window_100,final_grain_can_b1,0.9984,0.998,0.9984,0.9982,0.3303932449764856,,,,,0.47946312292358795,,,,0.061549160671462766,,,attack,attack,attack,attack-positive-like,0.3303932449764856
IsolationForest,IsolationForest,SAFE_CAN,test04_public_reproduction,0.9881,0.998,0.9881,0.993,0.9908146667405134,0.9633395242053927,0.9770770954729531,0.9633691262856586,0.9768853210020305,0.011900000000000022,0.9730465153440654,0.9719853210020305,0.9719853210020305,0.996906138143909,0.0020000000000000018,0.0009237653765880038,normal,attack,weighted,weighted/accuracy-like,0.9633395242053927
IsolationForest,IsolationForest,P1_public_default,test04_public_reproduction,0.9881,0.998,0.9881,0.993,0.9907407321602074,0.8052623594035918,0.8980015457818996,0.805462196244144,0.8884981844559475,0.04707219882055602,0.8845004406681017,0.8835981844559475,0.8835981844559475,0.9968690084087757,0.0013864170260510233,0.0003108834890781509,normal,attack,weighted,weighted/accuracy-like,0.8052623594035918
RandomForest,RandomForest,SAFE_CAN,test04_public_reproduction,0.9988,0.0011,0.0001,0.0003,0.05676600891191609,0.9939104098162567,0.5253382093640864,0.9929007181016136,0.9881914816359828,0.3231238135355237,0.9891090228679303,0.9883914816359828,0.9883914816359828,0.030195670674923524,0.9981626272407833,0.9971197268989047,attack,attack,attack,attack-positive-like,0.05676600891191609
